SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,LaunchVehicleClass,Purpose
1514,OPS 8464 (TRANSIT 5B-7),1965,107.84,-1.0,UNK,89.98,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1515,NAVSPASUR ROD 1,1965,106.61,-1.0,UNK,90.01,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1520,CALSPHERE 4A,1965,107.77,-1.0,+,89.91,Active,0,LEO,USA,USA,Unknown,Unknown,Unknown
1570,COSMOS 80,1965,114.94,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1571,COSMOS 81,1965,115.3,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1572,COSMOS 82,1965,115.65,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1573,COSMOS 83,1965,116.03,-1.0,UNK,56.05,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1574,COSMOS 84,1965,116.41,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1577,PORCUPINE 2,1965,107.77,-1.0,UNK,90.02,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1580,OPS 8068,1965,100.74,-1.0,UNK,98.39,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1584,COSMOS 86,1965,115.02,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1585,COSMOS 87,1965,115.43,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1586,COSMOS 88,1965,115.82,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1587,COSMOS 89,1965,116.22,-1.0,UNK,56.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1588,COSMOS 90,1965,116.64,-1.0,UNK,56.05,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
1613,OV1-2,1965,110.87,-1.0,UNK,144.23,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1641,OV2-1 & LCS 2,1965,98.99,-1.0,-,32.3,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1726,EXPLORER 29 (GEOS 1),1965,120.29,-1.0,UNK,59.38,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1738,EXPLORER 30,1965,99.88,-1.0,UNK,59.71,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
1778,A-1 (ASTERIX),1965,106.7,-1.0,UNK,34.26,Inactive,0,LEO,Algeria,France,Unknown,Unknown,Unknown
1804,ALOUETTE 2,1965,117.26,-1.0,UNK,79.8,Inactive,0,LEO,USA,Canada,Unknown,Unknown,Unknown
