SatCatId,ObjectName,LaunchYear,Status,StatusCode,OrbitClass,LaunchMass,UcsData,OrbitalPeriod,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2
40931,LAPAN-A2,2015,Active,+,LEO,68.0,1,97.51,India,Indonesia,Government,Earth Observation,PSLV,1 40931U 15052B   22111.18156916  .00000960  00000+0  44579-4 0  9991,2 40931   5.9971 217.6181 0012282  76.9454 283.2059 14.76774901354867
40936,EXACTVIEW 9,2015,Active,+,LEO,6.0,1,97.5,India,Canada,Commercial,Communications,PSLV,1 40936U 15052G   22109.43226015  .00001712  00000+0  14834-3 0  9995,2 40936   6.0023 234.7739 0010133  38.5229 321.5621 14.77015100354476
40938,BEIDOU 20,2015,Active,S,GEO,4200.0,1,1436.22,PRC,China,Government/Military,Navigation/Global Positioning,Long March,1 40938U 15053A   22110.92433031 -.00000125  00000+0  00000+0 0  9996,2 40938  51.5917 276.5290 0044884 193.0481 166.5713  1.00258974 24123
40940,SKY MUSTER 1 (NBN1A),2015,Active,+,GEO,6440.0,1,1436.1,French Guiana,Australia,Commercial,Communications,Ariane,1 40940U 15054A   22110.98497611 -.00000283  00000+0  00000+0 0  9995,2 40940   0.0141 252.6613 0001815 146.7611 304.4600  1.00271054 24037
40941,ARSAT 2,2015,Active,+,GEO,2977.0,1,1436.11,French Guiana,Argentina,Commercial,Communications,Ariane,1 40941U 15054B   22110.58203556 -.00000227  00000+0  00000+0 0  9993,2 40941   0.0204 284.2925 0001728 110.7961 302.0831  1.00270674 24090
40946,MORELOS 3,2015,Active,+,GEO,5325.0,1,1436.09,USA,Mexico,Government,Communications,Atlas,1 40946U 15056A   22110.64740019 -.00000048  00000+0  00000+0 0  9998,2 40946   3.8022 334.0990 0001891 347.2981   7.2599  1.00271175 24058
40959,LINGQIAO VIDEO A,2015,Active,+,LEO,95.0,1,97.73,PRC,China,Commercial,Earth Observation,Long March,1 40959U 15057B   22111.08635322  .00000485  00000+0  81865-4 0  9999,2 40959  97.7582 160.6555 0018895 142.1472 218.1077 14.73498602351589
40960,LINGQIAO VIDEO B,2015,Active,+,LEO,95.0,1,97.72,PRC,China,Commercial,Earth Observation,Long March,1 40960U 15057C   22111.10373030  .00000455  00000+0  77082-4 0  9992,2 40960  97.7610 161.4662 0018941 142.8728 217.3809 14.73610821351611
40961,JILIN 1,2015,Active,+,LEO,400.0,1,97.69,PRC,China,Commercial,Earth Observation,Long March,1 40961U 15057D   22111.13277611  .00000620  00000+0  10140-3 0  9999,2 40961  97.7663 163.1943 0019136 141.2495 219.0099 14.74007809351686
40965,AEROCUBE 5C,2015,Active,+,LEO,1.5,1,97.67,USA,USA,Commercial,Technology Development,Atlas,1 40965U 15058B   22111.04312807  .00002931  00000+0  32907-3 0  9993,2 40965  64.7775 265.5449 0199850 218.2350 140.4442 14.75358904140493
40966,AEROCUBE 7,2015,Active,+,LEO,2.0,1,97.58,USA,USA,Commercial,Technology Development,Atlas,1 40966U 15058C   22110.85896814  .00003698  00000+0  40721-3 0  9991,2 40966  64.7779 263.4442 0198064 217.9600 140.7408 14.75852894140489
40982,APSTAR 9,2015,Active,+,GEO,5200.0,1,1436.13,PRC,China,Commercial,Communications,Long March,1 40982U 15059A   22111.04913537 -.00000270  00000+0  00000+0 0  9990,2 40982   0.0434 139.0664 0000719 246.9324 342.7959  1.00269502 23933
40984,TURKSAT 4B,2015,Active,+,GEO,5000.0,1,1436.09,Kazakhstan,Turkey,Commercial,Communications,Proton,1 40984U 15060A   22110.85257782  .00000111  00000+0  00000+0 0  9998,2 40984   0.0295  94.2043 0002178 288.7077 182.9103  1.00270593 23884
40988,TIANHUI 1-03,2015,Active,+,LEO,2500.0,1,94.52,PRC,China,Government,Earth Observation,Long March,1 40988U 15061A   22110.69129825  .00074482  00000+0  31095-2 0  9994,2 40988  97.3923 232.0657 0004862 283.7706 200.3595 15.23338058360542
41019,NAVSTAR 75 (USA 265),2015,Active,+,MEO,1630.0,1,717.98,USA,USA,Commercial/Military,Navigation/Global Positioning,Atlas,1 41019U 15062A   22110.59843489  .00000018  00000+0  00000+0 0  9992,2 41019  55.7630  90.0608 0077250 218.5415 140.8905  2.00562794 47376
41021,CHINASAT 2C (ZX 2C),2015,Active,+,GEO,5200.0,1,1436.11,PRC,China,Commercial/Government,Communications,Long March,1 41021U 15063A   22109.07271377 -.00000321  00000+0  00000+0 0  9996,2 41021   0.0758  73.8224 0003458 358.5821 264.3422  1.00270746 23766
41026,YAOGAN-28,2015,Active,+,LEO,1040.0,1,94.51,PRC,China,Military,Earth Observation,Long March,1 41026U 15064A   22111.15929398  .00006102  00000+0  25948-3 0  9991,2 41026  97.5445 253.5440 0003139 140.4743 218.0872 15.23395733359502
41028,GSAT-15,2015,Active,+,GEO,3164.0,1,1436.1,French Guiana,India,Government,Communications,Ariane,1 41028U 15065A   22110.87896419 -.00000262  00000+0  00000+0 0  9999,2 41028   0.0565  92.6253 0003151 341.6842 184.5508  1.00271686 23588
41029,BADR-7 (ARABSAT-6B),2015,Active,+,GEO,5500.0,1,1436.08,French Guiana,Arabsat,Government,Communications,Ariane,1 41029U 15065B   22111.03390546  .00000140  00000+0  00000+0 0  9993,2 41029   0.0306 238.1018 0002259   1.2268   7.9440  1.00271691 23687
41032,COSMOS 2510,2015,Active,+,MEO,-1.0,1,716.95,Russia,Russia/USSR,Military,Earth Observation,Soyuz,1 41032U 15066A   22108.32980493  .00001372  00000+0  00000+0 0  9990,2 41032  62.8464 175.4497 6751156 270.7429  18.7611  2.00881551 46959
41034,LAOSAT 1,2015,Active,+,GEO,3800.0,1,1436.05,PRC,Laos,Government,Communications,Long March,1 41034U 15067A   22110.83906017 -.00000347  00000+0  00000+0 0  9994,2 41034   0.0535  63.7607 0002632 304.7861 270.9128  1.00273611 23632
41036,TELSTAR 12V,2015,Active,+,GEO,4900.0,1,1436.09,Japan,Canada,Commercial,Communications,H2A,1 41036U 15068A   22110.81053983 -.00000122  00000+0  00000+0 0  9991,2 41036   0.0138 270.4869 0002137 127.9994  87.1832  1.00271020 23409
41038,YAOGAN-29,2015,Active,+,LEO,1040.0,1,97.26,PRC,China,Military,Earth Observation,Long March,1 41038U 15069A   22111.04801820  .00000357  00000+0  53447-4 0  9998,2 41038  98.0561 110.9742 0000908 111.2403 248.8909 14.80627260345794
41103,CHINASAT 1C (ZX 1C),2015,Active,+,GEO,5200.0,1,1436.11,PRC,China,Commercial,Communications,Long March,1 41103U 15073A   22110.91229898 -.00000153  00000+0  00000+0 0  9997,2 41103   3.2461  85.8098 0001024 357.7572 175.2048  1.00272059 23433
41105,ELEKTRO-L 2,2015,Active,+,GEO,1800.0,1,1436.1,Kazakhstan,Russia/USSR,Government,Earth Observation,Zenit,1 41105U 15074A   22110.88240757 -.00000118  00000+0  00000+0 0  9994,2 41105   2.8427  88.7620 0000540  26.1731  37.2688  1.00271472 23290
41121,COSMOS 2513,2015,Active,+,GEO,5000.0,1,1436.08,Kazakhstan,Russia/USSR,Military,Communications,Proton,1 41121U 15075A   22111.11650104 -.00000143  00000+0  00000+0 0  9999,2 41121   0.0532  98.6760 0002685 325.9640 266.7196  1.00271372 23372
41166,VELOX-CI,2015,Active,+,LEO,123.0,1,95.29,India,Singapore,Civil,Technology Development,PSLV,1 41166U 15077A   22110.76257679  .00004007  00000+0  19226-3 0  9996,2 41166  14.9825 250.8996 0010954 333.4634  26.5125 15.11259917350564
41167,KENT RIDGE 1,2015,Active,+,LEO,78.0,1,95.38,India,Singapore,Civil,Earth Observation,PSLV,1 41167U 15077B   22110.80680304  .00002408  00000+0  10464-3 0  9995,2 41167  14.9819 269.0356 0011103 301.6526  96.9145 15.09848324350526
41168,ATHENOXAT 1,2015,Active,+,LEO,6.0,1,94.8,India,Singapore,Commercial,Technology Development,PSLV,1 41168U 15077C   22110.47709020  .00013986  00000+0  60704-3 0  9991,2 41168  14.9833 159.6584 0010932 150.3457 248.3965 15.19281747351470
41169,TELEOS 1,2015,Active,+,LEO,400.0,1,95.22,India,Singapore,Commercial,Earth Observation,PSLV,1 41169U 15077D   22110.69863148  .00005307  00000+0  25848-3 0  9996,2 41169  14.9802 241.2168 0009946 346.6048  13.4048 15.12396709350764
41170,GALASSIA,2015,Active,+,LEO,-1.0,0,94.82,India,Singapore,Unknown,Unknown,Unknown,1 41170U 15077E   22110.43999453  .00011676  00000+0  50575-3 0  9990,2 41170  14.9873 150.4056 0011573 174.1142 185.9316 15.18984592351380
41171,VELOX-II,2015,Active,+,LEO,13.0,1,95.08,India,Singapore,Civil,Technology Development,PSLV,1 41171U 15077F   22110.65767176  .00009200  00000+0  44383-3 0  9990,2 41171  14.9903 219.1335 0008079  24.6069 335.4637 15.14796424350830
41173,DAMPE,2015,Active,+,LEO,1850.0,1,94.47,PRC,China,Government,Space Science,Long March,1 41173U 15078A   22111.22652001  .00000916  00000+0  40260-4 0  9993,2 41173  97.3751 102.8823 0014993  46.6313   9.6317 15.24317120352869
41174,GSAT0209 (GALILEO 12),2015,Active,+,MEO,723.0,1,844.7,French Guiana,ESA,Commercial,Navigation/Global Positioning,Soyuz,1 41174U 15079A   22109.20267640  .00000066  00000+0  00000+0 0  9990,2 41174  55.1352 143.0297 0005252 300.6957  59.3296  1.70474709 38868
41175,GSAT0208 (GALILEO 11),2015,Active,+,MEO,723.0,1,844.7,French Guiana,ESA,Commercial,Navigation/Global Positioning,Soyuz,1 41175U 15079B   22110.00868813  .00000060  00000+0  00000+0 0  9994,2 41175  55.1339 143.0063 0004520 299.0485  60.9770  1.70474733 39299
41179,ORBCOMM FM114,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41179U 15081A   22110.98196359  .00000456  00000+0  14285-3 0  9990,2 41179  47.0037 316.9228 0002072 104.2794 255.8321 14.55059015336445
41182,ORBCOMM FM110,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41182U 15081D   22110.82239209  .00000452  00000+0  14189-3 0  9998,2 41182  47.0026 317.1665 0001515 288.7910  71.2810 14.55046652336237
41183,ORBCOMM FM118,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41183U 15081E   22110.86754263  .00000464  00000+0  14470-3 0  9991,2 41183  47.0045 317.1099 0001598 292.4724  67.5991 14.55076611336344
41184,ORBCOMM FM112,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41184U 15081F   22111.12530828  .00000569  00000+0  16890-3 0  9995,2 41184  46.9990 224.7965 0002243 184.2539 175.8326 14.55038632337669
41185,ORBCOMM FM113,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41185U 15081G   22110.62176441  .00000479  00000+0  14835-3 0  9994,2 41185  47.0012 227.2939 0002176 198.0117 162.0690 14.55029266337515
41186,ORBCOMM FM115,2015,Active,+,LEO,172.0,1,98.71,USA,ORBCOMM,Commercial,Communications,Falcon,1 41186U 15081H   22110.85949297  .00000273  00000+0  93873-4 0  9999,2 41186  46.9987 105.6672 0001602 250.8762 109.1951 14.58882834339205
41187,ORBCOMM FM108,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41187U 15081J   22110.78501403  .00000310  00000+0  10947-3 0  9997,2 41187  47.0037 137.5216 0000903  27.6304 332.4628 14.55038667338684
41188,ORBCOMM FM117,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41188U 15081K   22110.75073037  .00000256  00000+0  96977-4 0  9999,2 41188  46.9999 136.8319 0001423  76.7234 283.3809 14.55039728338720
41189,ORBCOMM FM116,2015,Active,+,LEO,172.0,1,98.97,USA,ORBCOMM,Commercial,Communications,Falcon,1 41189U 15081L   22111.14814772  .00000588  00000+0  17334-3 0  9990,2 41189  47.0017 224.6782 0002355 188.9827 171.1015 14.55033110337678
41191,EXPRESS-AMU1,2015,Active,+,GEO,2700.0,1,1436.1,Kazakhstan,Russia/USSR,Commercial,Communications,Proton,1 41191U 15082A   22110.82065713  .00000152  00000+0  00000+0 0  9996,2 41191   0.0107 222.3016 0003095 164.5726 153.5220  1.00271042 23055
41194,GAOFEN 4,2015,Active,+,GEO,4600.0,1,1436.09,PRC,China,Government,Earth Observation,Long March,1 41194U 15083A   22110.92308491 -.00000339  00000+0  00000+0 0  9992,2 41194   0.0715  69.8686 0005931 101.8992 115.2016  1.00269241 23292
41238,BELINTERSAT-1,2016,Active,+,GEO,5223.0,1,1436.12,PRC,Belarus,Government,Communications,Long March,1 41238U 16001A   22110.85257782  .00000103  00000+0  00000+0 0  9998,2 41238   0.0244 237.4960 0001276 261.7309  68.0906  1.00271437 23026
41240,JASON-3,2016,Active,+,LEO,553.0,1,112.42,USA,USA,Government,Earth Observation,Falcon,1 41240U 16002A   22111.48066926 -.00000051  00000+0  42800-4 0  9992,2 41240  66.0432  47.4029 0008238 273.6265  86.3808 12.80661836292751
41241,IRNSS-1E,2016,Active,+,GEO,1425.0,1,1435.98,India,India,Government,Navigation/Regional Positioning,PSLV,1 41241U 16003A   22110.83583309 -.00000289  00000+0  00000+0 0  9995,2 41241  29.8532  85.5045 0017866 185.9558 350.1494  1.00272714 22979
41310,EUTELSAT 9B,2016,Active,+,GEO,5200.0,1,1436.12,Kazakhstan,EUTELSAT,Commercial,Communications,Proton,1 41310U 16005A   22111.14771556  .00000056  00000+0  00000+0 0  9993,2 41310   0.0606  65.2515 0002320 284.6106 281.5202  1.00269459 22898
41328,NAVSTAR 76 (USA 266),2016,Active,+,MEO,1630.0,1,717.94,USA,USA,Commercial/Military,Navigation/Global Positioning,Atlas,1 41328U 16007A   22110.69290476  .00000044  00000+0  00000+0 0  9997,2 41328  54.8967 149.7676 0060682 229.7171 129.8197  2.00573153 45383
41330,COSMOS 2514 [GLONASS-M],2016,Active,+,MEO,1415.0,1,675.73,Russia,Russia/USSR,Commercial/Military,Navigation/Global Positioning,Soyuz,1 41330U 16008A   22110.50833558 -.00000066  00000+0  00000+0 0  9990,2 41330  65.5842   4.6517 0008076 217.6787 311.7447  2.13102896 48253
41332,KMS 4,2016,Active,+,LEO,-1.0,0,93.49,Democratic People's Republic of Korea,North Korea,Unknown,Unknown,Unknown,1 41332U 16009A   22111.19280500  .00018956  00000+0  46171-3 0  9991,2 41332  97.2461 186.9651 0019334 169.4156 190.7502 15.40768962347019
41335,SENTINEL-3A,2016,Active,+,LEO,2300.0,1,100.93,Russia,ESA,Government,Earth Observation,Rokot,1 41335U 16011A   22111.18529553  .00000096  00000+0  57721-4 0  9990,2 41335  98.6265 179.3170 0001188 100.7383 259.3931 14.26733512321600
41340,HORYU-4,2016,Active,+,LEO,-1.0,0,95.82,Japan,Japan,Unknown,Unknown,Unknown,1 41340U 16012D   22111.06385578  .00004008  00000+0  28502-3 0  9992,2 41340  31.0061   5.5285 0013676 348.2382  11.7934 15.02878581339086
41380,SES-9,2016,Active,+,GEO,5271.0,1,1436.1,USA,SES,Commercial,Communications,Falcon,1 41380U 16013A   22110.83504813 -.00000349  00000+0  00000+0 0  9990,2 41380   0.0182 280.0136 0002198 146.2963 191.4906  1.00269596 22215
41382,EUTELSAT 65 WEST A,2016,Active,+,GEO,6654.0,1,1436.09,French Guiana,EUTELSAT,Commercial,Communications,Ariane,1 41382U 16014A   22110.87966046 -.00000280  00000+0  00000+0 0  9991,2 41382   0.0579  31.0621 0002052 357.3194  72.0419  1.00271754 22324
41384,IRNSS-1F,2016,Active,+,GEO,1425.0,1,1436.03,India,India,Government,Navigation/Regional Positioning,PSLV,1 41384U 16015A   22110.81995939  .00000157  00000+0  00000+0 0  9993,2 41384   2.1112 161.0608 0020596 185.5984 189.8287  1.00268117 22444
41386,RESURS P3,2016,Active,P,LEO,5900.0,1,93.85,Kazakhstan,Russia/USSR,Commercial/Government,Earth Observation,Soyuz,1 41386U 16016A   22111.12675916  .00004003  00000+0  12219-3 0  9994,2 41386  97.2016 195.4248 0002473 208.0149 244.2664 15.34476166341517
41394,COSMOS 2515,2016,Active,+,LEO,4000.0,1,96.04,Russia,Russia/USSR,Military,Earth Observation,Soyuz,1 41394U 16020A   22111.14447099  .00001212  00000+0  10317-3 0  9995,2 41394  97.8696  67.2265 0032584  27.7130 332.5829 14.99356303332359
41434,BEIDOU IGSO-6,2016,Active,+,GEO,4200.0,1,1436.31,PRC,China,Government/Military,Navigation/Global Positioning,Long March,1 41434U 16021A   22110.84249216 -.00000155  00000+0  00000+0 0  9998,2 41434  58.0209  53.4328 0044851 220.4142 331.5736  1.00293904 22251
41456,SENTINEL-1B,2016,Active,+,LEO,2300.0,1,98.68,French Guiana,ESA,Government,Earth Observation,Soyuz,1 41456U 16025A   22111.02427261 -.00000119  00000+0 -15438-4 0  9992,2 41456  98.1814 119.2131 0001427  83.8687 276.2686 14.59196838318817
41459,E-ST@R-II,2016,Active,+,LEO,-1.0,0,95.26,French Guiana,Italy,Unknown,Unknown,Unknown,1 41459U 16025D   22111.14686056  .00015587  00000+0  68878-3 0  9995,2 41459  98.1805 272.1293 0150088 103.9806 257.8140 15.12158405328834
41460,AAUSAT 4,2016,Active,+,LEO,1.0,1,94.95,French Guiana,Denmark,Civil,Earth Observation,Soyuz,1 41460U 16025E   22111.01118568  .00021320  00000+0  85470-3 0  9990,2 41460  98.1766 277.6936 0131529  82.2433 279.3690 15.17329730329229
41464,MVL-300,2016,Active,+,LEO,645.0,1,93.91,Russia,Russia/USSR,Civil/Government,Space Science,Soyuz,1 41464U 16026A   22111.20410093  .00010257  00000+0  31608-3 0  9995,2 41464  97.0578 340.8387 0012117  24.6269  92.1050 15.33717984334174
41465,AIST-2D (RS-48),2016,Active,+,LEO,-1.0,0,93.53,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 41465U 16026B   22110.13777119  .00011851  00000+0  29930-3 0  9998,2 41465  97.0649 348.4688 0009562 356.9422 154.3069 15.39914088334557
41469,IRNSS-1G,2016,Active,+,GEO,1425.0,1,1436.17,India,India,Government,Navigation/Regional Positioning,PSLV,1 41469U 16027A   22110.83932182 -.00000337  00000+0  00000+0 0  9994,2 41469   2.0518 164.2067 0006635 277.3971 198.9781  1.00270362 21955
41471,JCSAT-2B,2016,Active,+,GEO,4500.0,1,1436.1,USA,Japan,Commercial,Communications,Falcon,1 41471U 16028A   22110.91598656 -.00000169  00000+0  00000+0 0  9994,2 41471   0.0168 232.7870 0001836 171.6183 288.3269  1.00271883 21863
41473,YAOGAN-30,2016,Active,+,LEO,2700.0,1,97.54,PRC,China,Military,Earth Observation,Long March,1 41473U 16029A   22111.06305538  .00068839  00000+0  97848-2 0  9995,2 41473  97.9329 152.5436 0018005  78.3040 282.0129 14.76427780319689
41549,GSAT0211 (GALILEO 14),2016,Active,+,MEO,723.0,1,844.7,French Guiana,ESA,Commercial,Navigation/Global Positioning,Soyuz,1 41549U 16030A   22110.71473061  .00000004  00000+0  00000+0 0  9990,2 41549  55.8082 263.4783 0003315 353.2270   6.7248  1.70475088 36769
41550,GSAT0210 (GALILEO 13),2016,Active,+,MEO,723.0,1,844.7,French Guiana,ESA,Commercial,Navigation/Global Positioning,Soyuz,1 41550U 16030B   22109.24764010  .00000004  00000+0  00000+0 0  9995,2 41550  55.8081 263.5201 0001768 319.1707  40.7664  1.70475229 36758
41552,THAICOM 8,2016,Active,+,GEO,3025.0,1,1436.08,USA,Thailand,Commercial,Communications,Falcon,1 41552U 16031A   22110.89007579 -.00000125  00000+0  00000+0 0  9996,2 41552   0.0911  72.9340 0005045 322.1484 212.8077  1.00270863 21493
41554,COSMOS 2516 [GLONASS-M],2016,Active,+,MEO,1415.0,1,675.72,Russia,Russia/USSR,Commercial/Military,Navigation/Global Positioning,Soyuz,1 41554U 16032A   22110.89348337  .00000030  00000+0  00000+0 0  9993,2 41554  63.9297 243.4426 0012982 212.1753 154.2815  2.13106186 45873
41556,ZIYUAN 3-2 (ZY 3-2),2016,Active,+,LEO,2630.0,1,94.64,PRC,China,Government,Earth Observation,Long March,1 41556U 16033A   22111.16128630  .00004678  00000+0  21322-3 0  9995,2 41556  97.5388 179.8005 0004879 126.8123 285.5082 15.21140480327192
41557,NUSAT-1 (FRESCO),2016,Active,+,LEO,-1.0,0,93.95,PRC,Argentina,Unknown,Unknown,Unknown,1 41557U 16033B   22111.11178306  .00012353  00000+0  38832-3 0  9999,2 41557  97.3852 208.7894 0011066 215.8899 266.6480 15.33062039328593
41558,NUSAT-2 (BATATA),2016,Active,+,LEO,-1.0,0,93.83,PRC,Argentina,Unknown,Unknown,Unknown,1 41558U 16033C   22111.14688752  .00011608  00000+0  34259-3 0  9995,2 41558  97.4034 214.2073 0010593 204.5319 274.8427 15.35085626328854
41579,COSMOS 2517 (GEO-IK 2),2016,Active,+,LEO,900.0,1,103.9,Russia,Russia/USSR,Military,Earth Science,Rokot,1 41579U 16034A   22111.19568608 -.00000006  00000+0  33309-4 0  9998,2 41579  99.2248 125.3406 0001422  70.3664 289.7644 13.85893685297361
41581,INTELSAT 31 (IS-31),2016,Active,+,GEO,6450.0,1,1436.11,Kazakhstan,INTELSAT,Commercial,Communications,Proton,1 41581U 16035A   22110.57924458 -.00000153  00000+0  00000+0 0  9992,2 41581   0.0150 241.6669 0002077 332.8721 107.5690  1.00269948 21463
41586,BEIDOU-2 G7,2016,Active,+,GEO,3800.0,1,1436.16,PRC,China,Government/Military,Navigation/Global Positioning,Long March,1 41586U 16037A   22110.85230118 -.00000358  00000+0  00000+0 0  9990,2 41586   1.8511  68.9270 0009292   0.6241 196.7340  1.00273474 21561
41588,ABS-2A (MONGOLSAT-1),2016,Active,+,GEO,1800.0,1,1436.12,USA,ABS,Commercial,Communications,Falcon,1 41588U 16038A   22111.11545442 -.00000089  00000+0  00000+0 0  9993,2 41588   0.0180 252.0529 0001908  69.9021   3.5028  1.00270387 21466
41589,EUTELSAT 117 WEST B,2016,Active,+,GEO,5500.0,1,1436.09,USA,EUTELSAT,Commercial,Communications,Falcon,1 41589U 16038B   22110.64661523 -.00000014  00000+0  00000+0 0  9998,2 41589   0.0112  98.6921 0000438 198.5099  27.2916  1.00273007 21442
41591,BRISAT,2016,Active,+,GEO,3540.0,1,1436.09,French Guiana,Indonesia,Commercial,Communications,Ariane,1 41591U 16039A   22110.84350829 -.00000200  00000+0  00000+0 0  9995,2 41591   0.0166 249.2967 0002316 143.5665 270.1961  1.00271407 21399
41592,ECHOSTAR 18,2016,Active,+,GEO,6300.0,1,1436.07,French Guiana,USA,Commercial,Communications,Ariane,1 41592U 16039B   22110.87966046 -.00000285  00000+0  00000+0 0  9996,2 41592   0.0168 227.8710 0001590 178.2806  58.0991  1.00271098 21409
41599,CARTOSAT-2C,2016,Active,+,LEO,727.0,1,94.78,India,India,Government,Earth Observation,PSLV,1 41599U 16040A   22111.17248426  .00003387  00000+0  16358-3 0  9996,2 41599  97.4923 171.2556 0013620  28.5739  55.4853 15.19263876323238
41601,SKYSAT-C1,2016,Active,+,LEO,110.0,1,93.36,India,USA,Commercial,Earth Observation,PSLV,1 41601U 16040C   22111.16316488  .00011591  00000+0  29632-3 0  9998,2 41601  97.1569 187.9664 0000397 169.6065 190.5189 15.39596057325197
41602,GHGSAT-D,2016,Active,+,LEO,15.0,1,94.39,India,Canada,Commercial,Earth Science,PSLV,1 41602U 16040D   22111.08492424  .00007127  00000+0  28122-3 0  9998,2 41602  97.2131 159.1744 0007664 350.0876  10.0210 15.25813997323913
41603,LAPAN-A3,2016,Active,+,LEO,115.0,1,94.71,India,Indonesia,Government,Earth Observation,PSLV,1 41603U 16040E   22111.18340441  .00001367  00000+0  65480-4 0  9990,2 41603  97.2128 150.6908 0013527  10.0514  77.1055 15.20483550323335
41604,BIROS,2016,Active,+,LEO,130.0,1,94.51,India,Germany,Government,Earth Observation,PSLV,1 41604U 16040F   22111.14296775  .00004476  00000+0  18827-3 0  9993,2 41604  97.2172 157.6984 0011011 344.0971  15.9919 15.23835023323731
41605,M3MSAT,2016,Active,+,LEO,85.0,1,94.55,India,Canada,Government,Earth Observation,PSLV,1 41605U 16040G   22111.10721945  .00004092  00000+0  17590-3 0  9992,2 41605  97.2166 155.7104 0011345   0.8754 359.2501 15.23145038323601
41607,SWAYAM,2016,Active,+,LEO,1.0,1,94.15,India,India,Civil,Technology Development,PSLV,1 41607U 16040J   22110.39142027  .00014554  00000+0  50307-3 0  9999,2 41607  97.2218 162.6549 0010125 335.5441  24.5318 15.29964817323896
41610,FLOCK 2P-9,2016,Active,+,LEO,3.0,1,94.04,India,USA,Commercial,Earth Observation,PSLV,1 41610U 16040M   22111.17037529  .00023464  00000+0  76496-3 0  9997,2 41610  97.2370 170.5733 0007291 308.1871  51.8713 15.31784566324274
41613,FLOCK 2P-8,2016,Active,+,LEO,3.0,1,94.04,India,USA,Commercial,Earth Observation,PSLV,1 41613U 16040Q   22111.14714977  .00021797  00000+0  71335-3 0  9990,2 41613  97.2417 171.5779 0007325 319.3977  40.6718 15.31674786324430
41618,FLOCK 2P-3,2016,Active,+,LEO,3.0,1,94.04,India,USA,Commercial,Earth Observation,PSLV,1 41618U 16040V   22110.85363443  .00021556  00000+0  70390-3 0  9993,2 41618  97.2442 171.7830 0006985 320.5204  39.5528 15.31752032324393
41619,BEESAT-4,2016,Active,+,LEO,-1.0,0,94.18,India,Germany,Unknown,Unknown,Unknown,1 41619U 16040W   22111.09555248  .00014285  00000+0  50362-3 0  9995,2 41619  97.2232 163.3068 0008301 327.4494  32.6234 15.29342386311952
41622,MUOS-5,2016,Active,+,GEO,6804.0,1,1436.09,USA,USA,Military,Communications,Atlas,1 41622U 16041A   22110.61259625 -.00000144  00000+0  00000+0 0  9997,2 41622   5.7479 301.3724 0194807 233.5815 149.2416  1.00271226 21848
41634,SJ 16-02,2016,Active,+,LEO,-1.0,1,96.9,PRC,China,Government,Technology Development,Long March,1 41634U 16043A   22111.14070545  .00000656  00000+0  78080-4 0  9998,2 41634  75.0022 254.7138 0007085 119.9173 240.2721 14.86054005315142
41725,TIANTONG-1 1,2016,Active,+,GEO,-1.0,1,1436.13,PRC,China,Government,Communications,Long March,1 41725U 16048A   22110.83373986 -.00000323  00000+0  00000+0 0  9998,2 41725   2.3045 355.6093 0004270  48.9026 205.9590  1.00271955 21045
41727,GAOFEN 3,2016,Active,+,LEO,1000.0,1,99.85,PRC,China,Government,Earth Observation,Long March,1 41727U 16049A   22111.16197096  .00000026  00000+0  21192-4 0  9993,2 41727  98.4092 120.2774 0001878  95.8128 264.3275 14.42216058299838
41729,JCSAT-16,2016,Active,+,GEO,4500.0,1,1436.12,USA,Japan,Commercial,Communications,Falcon,1 41729U 16050A   22110.92293757 -.00000322  00000+0  00000+0 0  9991,2 41729   0.0510  83.6444 0000836  64.7502 147.9093  0.99827492 20848
41731,QSS (MOZI),2016,Active,+,LEO,700.0,1,94.34,PRC,China,Government,Space Science,Long March,1 41731U 16051A   22111.13984009  .00003007  00000+0  11750-3 0  9996,2 41731  97.3390  23.1762 0013701 143.4484 324.4960 15.26562970316124
41744,USA 270,2016,Active,+,GEO,-1.0,1,1434.09,USA,USA,Military,Space Observation,Delta,1 41744U 16052A   22108.17088551 -.00000013  00000+0  00000+0 0  9995,2 41744   0.2981  97.4271 0000811 334.5986 258.6727  1.00475911  3480
41745,USA 271,2016,Active,+,GEO,-1.0,1,1435.18,USA,USA,Military,Space Observation,Delta,1 41745U 16052B   22094.25960826 -.00000357  00000+0  00000+0 0  9994,2 41745   0.2304  98.2006 0000036 202.8696  99.8856  1.00128860  3351
