SatCatId,ObjectName,LaunchYear,Status,StatusCode,OrbitClass,LaunchMass,UcsData,OrbitalPeriod,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2
20776,SKYNET 4C,1990,Active,+,GEO,1474.0,1,1436.12,French Guiana,UK,Military,Communications,Ariane,1 20776U 90079A   22110.82405340  .00000121  00000+0  00000+0 0  9991,2 20776  13.8235   0.4930 0003029  26.7160 151.6765  1.00275750115665
21639,TDRS 5,1991,Active,+,GEO,3180.0,1,1436.12,USA,USA,Commercial/Government,Communications,Space Shuttle STS,1 21639U 91054B   22110.67668810  .00000080  00000+0  00000+0 0  9994,2 21639  14.2433   5.1057 0027406   0.5470 279.0006  1.00274026112485
22049,GEOTAIL,1992,Active,+,HEO,980.0,1,7493.47,USA,Japan,Government,Space Science,Delta,1 22049U 92044A   22113.55431465 -.00001522  00000+0  00000+0 0  9997,2 22049  44.7859  38.0024 4919806 196.8923 357.2701  0.19213030 12858
22195,LAGEOS 2,1992,Active,+,MEO,-1.0,0,222.46,USA,Italy,Unknown,Unknown,Unknown,1 22195U 92070B   22110.69395081 -.00000009  00000+0  00000+0 0  9992,2 22195  52.6397 146.3058 0137965 243.6161 221.8393  6.47294182697119
22314,TDRS 6,1993,Active,+,GEO,3180.0,1,1436.08,USA,USA,Commercial/Government,Communications,Space Shuttle STS,1 22314U 93003B   22111.18233670 -.00000300  00000+0  00000+0 0  9996,2 22314  14.1287   8.3358 0010324  95.1479 125.4508  1.00267688107156
22490,SCD 1,1993,Active,P,LEO,-1.0,0,99.68,USA,Brazil,Unknown,Unknown,Unknown,1 22490U 93009B   22110.68972900  .00000399  00000+0  60420-4 0  9991,2 22490  24.9689 211.7226 0042710 286.1271 191.1910 14.44671254541199
22787,UFO 2 (USA 95),1993,Active,+,GEO,3200.0,1,1436.03,USA,USA,Military,Communications,Atlas,1 22787U 93056A   22110.32410549  .00000123  00000+0  00000+0 0  9997,2 22787  11.4543  11.4629 0004497  12.6627 329.6668  1.00268990103310
22824,STELLA,1993,Active,+,LEO,-1.0,0,100.88,French Guiana,France,Unknown,Unknown,Unknown,1 22824U 93061B   22111.20113365 -.00000037  00000+0  39195-5 0  9997,2 22824  98.9692 130.6569 0005796 329.6149  93.2564 14.27389425488378
22825,EYESAT A (AO-27),1993,Active,P,LEO,-1.0,0,100.69,French Guiana,USA,Unknown,Unknown,Unknown,1 22825U 93061C   22110.86629132  .00000060  00000+0  41067-4 0  9998,2 22825  98.8932 140.6696 0007867 213.1521 146.9168 14.30159255489927
22826,ITAMSAT (IO-26),1993,Active,P,LEO,-1.0,0,100.66,French Guiana,Italy,Unknown,Unknown,Unknown,1 22826U 93061D   22110.90337374  .00000082  00000+0  49427-4 0  9990,2 22826  98.8876 140.5906 0008602 199.5412 160.5441 14.30503037490189
