Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
Aerocube 8C,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,2016-11-11 00:00:00,5.0,,,,Atlas 5,41853
Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,2016-11-11 00:00:00,2.0,,,,Atlas 5,41852
Eutelsat 48D,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,2008-12-20 00:00:00,3460.0,1555,7000,15.0,Ariane 5,33460
AII-Bravo,Lithuania,Aurora Insight,Commercial,Communications,,LEO,Sun-Synchronous,2021-04-29 00:00:00,9.0,,,,Vega W18,48270
AII-Charlie,Lithuania,Aurora Insight,Commercial,Communications,,LEO,Sun-Synchronous,2021-01-24 00:00:00,9.0,,,,Falcon 9,47440
AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,2007-04-25 00:00:00,215.0,197,216,2.0,Pegasus XL,31304
AISSat-1,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,2010-07-12 00:00:00,6.0,,,3.0,PSLV,36797
AISSat-2,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,2014-07-08 00:00:00,6.0,,,3.0,Soyuz-2.1b,40075
AISTechSat-2,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2018-12-03 00:00:00,2.6,,,,Falcon 9,43768
AISTechSat-3,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2019-04-01 00:00:00,2.3,,,,PSLV,44103
Al Yah-3,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,GEO,,2018-01-25 00:00:00,3795.0,,,15.0,Ariane 5,43174
Alcomsat,Algeria,Algerian Space Agency (ASAL),Government,Communications,,GEO,,2017-12-10 00:00:00,5225.0,,,15.0,Long March 3B,43039
ALE-2,Japan,Astro Live Experiences,Commercial,Earth Science,,LEO,Sun-Synchronous,2019-12-06 00:00:00,75.0,,,,Electron,44824
Alfa Crux,Brazil,University of Brasilia,Civil,Technology Development,,LEO,Sun-Synchronous,2022-04-01 00:00:00,1.0,,,,Falcon 9,52160
Al-Farabi-2,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,2018-12-03 00:00:00,4.0,,,,Falcon 9,43805
ALiCE,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,2013-12-06 00:00:00,5.0,,,,Atlas 5,39467
Alsat-1B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2016-09-26 00:00:00,103.0,,,5.0,PSLV,41785
AlSat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,2016-09-26 00:00:00,10.0,,,,PSLV,41789
Alsat-2A,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2010-07-12 00:00:00,130.0,,,5.0,PSLV,36798
Alsat-2B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2016-09-26 00:00:00,117.0,,,5.0,PSLV,41786
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,Optical Imaging,GEO,,2009-10-01 00:00:00,5465.0,,15300,15.0,Ariane 5,35942
Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,2013-02-07 00:00:00,6265.0,2778,14000,15.0,Ariane 5 ECA,39078
Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,2014-03-22 00:00:00,2938.0,,,15.0,Ariane 5 ECA,39616
Amazonas-5,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,2017-09-12 00:00:00,5900.0,,,15.0,Proton,42934
Amazonia-1,Brazil,National Institute for Space Research (INPE),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-02-28 00:00:00,637.0,,,4.0,PSLV,47699
AMC-1,USA,SES S.A.,Commercial,Communications,,GEO,,1996-09-08 00:00:00,2783.0,1600,"6,500 (EOL)",15.0,Atlas 2A,24315
AMC-11,USA,SES S.A.,Commercial,Communications,,GEO,,2004-05-19 00:00:00,2340.0,2316,"6,500 (EOL)",15.0,Atlas 2AS,28252
AMC-15,USA,SES S.A.,Commercial,Communications,,GEO,,2004-10-14 00:00:00,4200.0,,,15.0,Proton M,28446
AMC-18,USA,SES S.A.,Commercial,Communications,,GEO,,2006-12-08 00:00:00,2081.0,918,,15.0,Ariane 5,29644
AMC-21,USA,SES S.A.,Commercial,Communications,,GEO,,2008-08-14 00:00:00,2500.0,,5000,15.0,Ariane 5 ECA,33275
AMC-4,USA,SES S.A./Gogo,Commercial,Communications,,GEO,,1999-11-13 00:00:00,3909.0,2500,,15.0,Ariane 44LP,25954
AMC-6,USA,SES S.A.,Commercial,Communications,,GEO,,2000-10-22 00:00:00,3901.0,2500,,15.0,Proton K,26580
AMC-8,USA,SES S.A.,Commercial,Communications,,GEO,,2000-12-19 00:00:00,2015.0,919,3300,15.0,Ariane 5G,26639
AmGU-1,Russia,Moscow State University,Civil,Space Science,,LEO,Sun-Synchronous,2019-07-05 00:00:00,4.0,,,,Soyuz-2.1b,44394
Amos 17,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,2019-08-06 00:00:00,6500.0,,,20.0,Falcon 9,44479
Amos 3,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,2008-04-28 00:00:00,,,,12.0,Zenit 3SLB,32794
Amos 4,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,2013-08-31 00:00:00,,,,12.0,Zenit 2SB,39237
Amsat-Oscar 7,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,1974-11-15 00:00:00,29.0,,,,Delta 2310,7530
ANASIS-II,South Korea,Agency for Defense Development,Military,Communications,,GEO,,2020-07-20 00:00:00,,,,15.0,Falcon 9,45920
ANDESITE Mule,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,LEO,Sun-Synchronous,2020-06-13 00:00:00,9.0,,,,Electron,45726
ANGELS,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,LEO,Sun-Synchronous,2019-12-18 00:00:00,18.0,,,,Soyuz,44876
Angosat-2,Angola,AngoSat,Government,Communications,,LEO,,2022-10-12 00:00:00,2150.0,,,,Proton,54033
Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,2000-11-21 00:00:00,4710.0,2950,"15,500 (EOL)",15.0,Ariane 44L,26624
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,2005-09-09 00:00:00,4500.0,,10000,15.0,Proton M,28868
Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,2004-07-18 00:00:00,5910.0,3805,16000,15.0,Ariane 5,28378
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,2007-04-09 00:00:00,4715.0,,17500,15.0,Proton M,31102
Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,2013-04-15 00:00:00,4905.0,,17500,15.0,Proton M,39127
AprizeSat 1,Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,2004-06-29 00:00:00,12.0,12,,,Dnepr,28372
AprizeSat 10,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,2014-06-19 00:00:00,12.0,12,,,Dnepr,40019
AprizeSat 2,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,2004-06-29 00:00:00,12.0,12,,,Dnepr,28366
AprizeSat 3,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,2009-07-29 00:00:00,12.0,12,,,Dnepr,35686
AprizeSat 4,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,2009-07-29 00:00:00,12.0,12,,,Dnepr,35684
AprizeSat 5,Canada,"Aprize Satellite, Argentina",Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,2011-08-17 00:00:00,12.0,12,,,Dnepr,37792
AprizeSat 7,Canada,"Aprize Satellite, Argentina",Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,2013-11-21 00:00:00,12.0,12,,,Dnepr,39416
AprizeSat 8,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,2013-11-21 00:00:00,12.0,12,,,Dnepr,39425
AprizeSat 9,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,2014-06-19 00:00:00,12.0,12,,,Dnepr,40018
Apstar 6C,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,2018-05-03 00:00:00,,,,15.0,Long March 3B,43450
Apstar 6D,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,2020-07-09 00:00:00,5550.0,,,15.0,Long March 3B,45863
