Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
Cosmos 2557,Russia,Minisry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2022-07-07 00:00:00,974.0,,1700,10.0,Soyuz-2.1b,52984
Cosmos 2425,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2006-12-25 00:00:00,1480.0,,1600,7.0,Proton K,29670
Cosmos 2426,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2006-12-25 00:00:00,1480.0,,1600,7.0,Proton K,29671
Cosmos 2432,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2007-10-26 00:00:00,1480.0,,1600,7.0,Proton K,32276
Cosmos 2433,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2007-10-26 00:00:00,1480.0,,1600,7.0,Proton K,32275
Cosmos 2434,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2007-12-25 00:00:00,1480.0,,1600,7.0,Proton M,32393
Cosmos 2436,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2007-12-25 00:00:00,1480.0,,1600,7.0,Proton M,32395
Cosmos 2456,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2009-12-14 00:00:00,1415.0,,1000,7.0,Proton M,36111
Cosmos 2459,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2010-03-01 00:00:00,1415.0,,1000,7.0,Proton M,36400
Cosmos 2460,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2010-03-01 00:00:00,1415.0,,1000,7.0,Proton M,36402
Cosmos 2457,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2009-12-14 00:00:00,1415.0,,1000,7.0,Proton M,36112
Cosmos 2461,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2010-03-01 00:00:00,1415.0,,1000,7.0,Proton M,36401
Cosmos 2464,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2010-09-02 00:00:00,1415.0,,1000,7.0,Proton M,37139
Cosmos 2476,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2011-11-04 00:00:00,1415.0,,1000,7.0,Proton M,37867
Cosmos 2477,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2011-11-04 00:00:00,1415.0,,1000,7.0,Proton M,37868
Cosmos 2475,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2011-11-04 00:00:00,1415.0,,1000,7.0,Proton M,37869
Cosmos 2485,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2013-04-26 00:00:00,1415.0,,1000,7.0,Soyuz-2,39155
Cosmos 2514,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2016-02-07 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,41330
Cosmos 2522,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2017-09-22 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,42939
Cosmos 2516,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2016-05-29 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,41554
Cosmos 2500,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2014-06-14 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,40001
Cosmos 2527,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2018-06-18 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,43508
Cosmos 2529,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2018-11-03 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,43687
Cosmos 2534,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2019-05-27 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,44299
Cosmos 2544,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2019-12-11 00:00:00,1415.0,,1000,7.0,Soyuz-2.1a,44850
Cosmos 2545,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2020-02-16 00:00:00,1415.0,,1000,7.0,Soyuz-2.1b,45358
GMS-T,Germany,OHB SE (Orbitale Hochtechnologie Bremen),Commercial,Communications,,LEO,Polar,2021-01-20 00:00:00,50.0,,,,Electron,47346
GNOMES-1,USA,PlanetiQ,Commercial,Earth Science,,LEO,Sun-Synchronous,2020-08-30 00:00:00,30.0,,,,Falcon 9,46266
GNOMES-2,USA,PlanetiQ,Commercial,Earth Science,,LEO,Sun-Synchronous,2021-06-30 00:00:00,30.0,,,,Falcon 9,48910
GNOMES-3,USA,PlanetiQ,Commercial,Earth Science,,LEO,Sun-Synchronous,2022-04-01 00:00:00,30.0,,,,Falcon 9,52158
GOES-13,USA,US Air Force,Military,Earth Observation,Earth Science/Meterology,GEO,,2006-05-24 00:00:00,3200.0,1533,2300,7.0,Delta 4,29155
GOES-14,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,2009-06-27 00:00:00,3200.0,1533,2300,10.0,Delta 4,35491
GOES-15,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,2010-03-04 00:00:00,3175.0,2180,2300,10.0,Delta 4,36411
GOES-R,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,2016-11-19 00:00:00,5192.0,2857,,20.0,Atlas 5,41866
GOES-S,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,2018-03-01 00:00:00,5211.0,3000,,15.0,Atlas 5,43226
GOES-T,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,2022-03-01 00:00:00,5209.0,2857,,15.0,Atlas 5,51850
Göktürk 1,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2016-12-05 00:00:00,1060.0,,,7.0,Vega,41875
Göktürk 2,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2012-12-18 00:00:00,409.0,,,5.0,Long March 2D,39030
Golden Bauhinia 1-03,China,Hong Kong Aerospace Technology Group,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-12-06 00:00:00,10.0,,,,Ceres 1,49816
Golden Bauhinia 5,China,Hong Kong Aerospace Technology Group,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-12-06 00:00:00,10.0,,,,Ceres 1,49815
GomX-4A,Denmark,GomSpace ApS,Military,Earth Observation,,LEO,Sun-Synchronous,2018-02-02 00:00:00,8.0,,,,Long March 2D,43197
GomX-4B,Denmark,GomSpace ApS,Government,Technology Development,,LEO,Sun-Synchronous,2018-02-02 00:00:00,8.0,,,,Long March 2D,43196
Gonets M-11,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2015-03-31 00:00:00,280.0,,120,7.0,Rokot,40552
Gonets M-12,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2015-03-31 00:00:00,280.0,,120,7.0,Rokot,40553
Gonets M-13,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2015-03-31 00:00:00,280.0,,120,7.0,Rokot,40554
Gonets M-14,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2013-09-11 00:00:00,270.0,,120,7.0,Rokot,39249
Gonets M-16,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2013-09-11 00:00:00,270.0,,120,7.0,Rokot,39250
Gonets M-17,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2013-09-11 00:00:00,270.0,,120,7.0,Rokot,39251
Gonets M-18,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2014-07-03 00:00:00,280.0,,120,7.0,Rokot,40061
Gonets M-19,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2014-07-03 00:00:00,280.0,,120,7.0,Rokot,40062
Gonets M-20,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2014-07-03 00:00:00,280.0,,120,7.0,Rokot,40063
Gonets-M-24,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2019-12-26 00:00:00,280.0,,120,7.0,Rokot,44905
Gonets M-25,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2019-12-26 00:00:00,280.0,,120,7.0,Rokot,44906
Gonets M-26,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2019-12-26 00:00:00,280.0,,120,7.0,Rokot,44907
Gonets M-27,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2020-09-28 00:00:00,280.0,,120,7.0,Soyuz-2.1b,46486
Gonets M-28,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2020-09-28 00:00:00,280.0,,120,7.0,Soyuz-2.1b,46487
Gonets M-29,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2020-09-28 00:00:00,280.0,,120,7.0,Soyuz-2.1b,46488
Gonets M-30,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2020-12-03 00:00:00,280.0,,120,7.0,Soyuz-2.1b,47227
Gonets M-31,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2020-12-03 00:00:00,280.0,,120,7.0,Soyuz-2.1b,47228
Gonets M-32,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,2020-12-03 00:00:00,280.0,,120,7.0,Soyuz-2.1b,47229
GOSAT-2,Japan,"JAXA, Ministry of Environment, National Institute of Environmental Studies",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,2018-10-29 00:00:00,1800.0,,,5.0,H2A,43672
Gossamer Piccolomini,USA,Lunasonde,Commercial,Earth Observation,Subsurface Imaging,LEO,Sun-Synchronous,2022-01-13 00:00:00,1.0,,,,Falcon 9,50999
GovSat-1,Luxembourg,LuxGovSat,Government/Military,Communications,,GEO,,2018-01-31 00:00:00,4230.0,,,15.0,Falcon 9,43178
GPM Core Observatory,USA/Japan,National Aeronautics and Space Administration (NASA)/JAXA,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,2014-02-27 00:00:00,3850.0,,,,H2A,39574
Grace Follow-on-1,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,LEO,Polar,2018-05-22 00:00:00,600.0,,,5.0,Falcon 9,43476
Grace Follow-on-2,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,LEO,Polar,2018-05-22 00:00:00,600.0,,,5.0,Falcon 9,43477
Ibuki,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,2009-01-23 00:00:00,1750.0,,3800,5.0,H2A,33492
GRUS-1A,Japan,Axelspace,Commercial,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,2018-12-27 00:00:00,100.0,,,5.0,Soyuz-2.1a,43890
GRUS-1B,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-03-22 00:00:00,100.0,,,5.0,Soyuz-2.1a,47934
GRUS-1C,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-03-22 00:00:00,100.0,,,5.0,Soyuz-2.1a,47933
GRUS-1D,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-03-22 00:00:00,100.0,,,5.0,Soyuz-2.1a,47936
GRUS-1E,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-03-22 00:00:00,100.0,,,5.0,Soyuz-2.1a,47935
GSAT-10,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2012-09-28 00:00:00,3400.0,1493,,15.0,Ariane 5,38779
GSAT-11,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2018-12-04 00:00:00,5854.0,,,15.0,Ariane 5,43824
GSAT-12,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2011-07-15 00:00:00,1410.0,559,1430,8.0,PSLV C17,37746
GSAT-14,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2014-01-05 00:00:00,1982.0,,,12.0,GSLV,39498
GSAT-15,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2015-01-10 00:00:00,3164.0,,,12.0,Ariane 5,41028
GSAT-16,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2014-12-06 00:00:00,3181.0,,,15.0,Ariane 5 ECA,40332
GSAT-17,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2017-06-28 00:00:00,3477.0,,,15.0,Ariane 5,42815
GSAT-18,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2016-10-05 00:00:00,3404.0,,,15.0,Ariane 5,41793
GSAT-19E,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2017-06-03 00:00:00,3136.0,,,10.0,GSLV MK.3,42747
GSAT-24,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2022-06-22 00:00:00,4181.0,,,15.0,Ariane 5,52903
GSAT-29,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2018-11-14 00:00:00,3400.0,,,10.0,GSLV MK.3,43698
GSAT-30,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2020-01-16 00:00:00,3357.0,,,15.0,Ariane 5,45026
GSAT-31,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,2019-02-05 00:00:00,2536.0,,4700,15.0,Ariane 5,44035
GSAT-6,India,Indian Space Research Organization (ISRO),Government/Commercial,Communications,,GEO,,2015-08-27 00:00:00,2110.0,980,3100,12.0,GSLV,40880
GSAT-7,India,Indian Navy,Military,Communications,,GEO,,2013-08-29 00:00:00,2650.0,,,7.0,Ariane 5 ECA,39234
GSAT-7A,India,Indian Air Force,Military,Communications,,GEO,,2018-12-19 00:00:00,2250.0,,,8.0,GSLV Mk.2,43864
GSAT-8,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,,GEO,,2011-05-20 00:00:00,3093.0,1426,6250,12.0,Ariane 5,37605
USA 254,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,,2014-07-28 00:00:00,500.0,,,,Delta 4M,40100
USA 270,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,,2016-08-19 00:00:00,500.0,,,,Delta 4M+,41744
USA 271,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,,2016-08-19 00:00:00,500.0,,,,Delta 4M+,41745
USA 324,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,,2022-01-21 00:00:00,500.0,,,,Atlas 5,51280
USA 325,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,,2022-01-21 00:00:00,500.0,,,,Atlas 5,51281
Gunsmoke-J1     ,USA,U.S. Army’s Space and Missile Defense Command,Military,Earth Observation,,LEO,Non-Polar Inclined,2021-03-22 00:00:00,5.0,,,,Electron,47969
Gunsmoke-J2,USA,U.S. Army’s Space and Missile Defense Command,Military,Earth Observation,,LEO,Non-Polar Inclined,2021-02-20 00:00:00,5.0,,,,Cygnus,49014
Gunsmoke-J4,USA,Department of Defense/Army Space and Missile Defense Command,Military,Earth Observation,,LEO,Non-Polar Inclined,2021-06-30 00:00:00,4.0,,,,LauncherOne,48878
Hainan-1-01,China,Sanya Institute of Remote Sensing,Government,Earth Observation,Maritime Observation,LEO,Sun-Synchronous,2022-02-27 00:00:00,55.0,,,,Long March 8,51825
Hainan-1-02,China,Sanya Institute of Remote Sensing,Government,Earth Observation,Maritime Observation,LEO,Sun-Synchronous,2022-02-27 00:00:00,65.0,,,,Long March 8,51826
Haisi-2,China,Xiamen University/Aerospace Dongfanghong Satellite Co. Ltd. {CASC),Government/Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,2021-06-11 00:00:00,,,,,Long March 2D,48842
Haiyang 1C,China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,2018-09-07 00:00:00,442.0,,,,Long March 2C,43609
Haiyang 1D,China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,2020-06-10 00:00:00,442.0,,,,Long March 2C,45721
Haiyang 2A,China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,2011-08-15 00:00:00,1500.0,,,3.0,Long March 4B,37781
Haiyang 2B,China,State Oceanic Administration (SOA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,2018-10-24 00:00:00,1500.0,,,3.0,Long March 4B,43655
Haiyang 2C,China,State Oceanic Administration (SOA),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,2020-09-21 00:00:00,1500.0,,,,Long March 4B,46469
Haiyang 2D,China,State Oceanic Administration (SOA),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,2021-05-19 00:00:00,1500.0,,,,Long March 4B,48261
Halo-NET Free Flyer,USA,Department of Defense/Space Test Program,Military,Communications,Optical,LEO,Non-Polar Inclined,2021-06-30 00:00:00,4.0,,,,LauncherOne,48877
Hangsheng 1,China,"Hunan Hangsheng Satellite Technology Co., Ltd.",Commercial,Technology Development,,LEO,Sun-Synchronous,2021-04-27 00:00:00,37.0,,,,Long March 6,48251
Harbinger,USA,US Army Space and Missile Defense Command,Military,Technology Development,Radar Imaging,LEO,Non-Polar Inclined,2019-05-05 00:00:00,150.0,,,,Electron,44229
Hawk-2A,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2021-01-24 00:00:00,15.0,,,,Falcon 9/Sherpa FX,47505
Hawk-2B,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2021-01-24 00:00:00,15.0,,,,Falcon 9/Sherpa FX,47508
Hawk-2C,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2021-01-24 00:00:00,15.0,,,,Falcon 9/Sherpa FX,47502
Hawk-3A,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2021-06-30 00:00:00,15.0,,,,Falcon 9/Sherpa FX,48957
Hawk-3B,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2021-06-30 00:00:00,15.0,,,,Falcon 9/Sherpa FX,48931
Hawk-3C,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2021-06-30 00:00:00,15.0,,,,Falcon 9/Sherpa FX,48948
Hawk-4A,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2022-04-01 00:00:00,15.0,,,,Falcon 9,52167
Hawk-4B,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2022-04-01 00:00:00,15.0,,,,Falcon 9,52165
Hawk-4C,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2022-04-01 00:00:00,15.0,,,,Falcon 9,52170
Hawk-A,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2018-12-03 00:00:00,15.0,,,,Falcon 9,43765
Hawk-B,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2018-12-03 00:00:00,15.0,,,,Falcon 9,43794
Hawk-C,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,2018-12-03 00:00:00,15.0,,,,Falcon 9,43799
HEAD-1,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2017-11-14 00:00:00,45.0,,,3.0,Long March 4C,43011
HEAD-2A,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2019-12-07 00:00:00,45.0,,,,Kuaizhou 1A,44838
HEAD-2B,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2019-12-07 00:00:00,45.0,,,,Kuaizhou 1A,44839
HEAD-2E,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2021-10-14 00:00:00,45.0,45,,,Long March 4D,49319
HEAD-2F,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2021-10-14 00:00:00,45.0,45,,,Long March 2D,49322
HEAD-4,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2020-05-31 00:00:00,45.0,,,,Long March 2D,45624
HEAD-5,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2020-06-17 00:00:00,45.0,,,,Long March 2D,45796
Helios 2A,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2004-12-18 00:00:00,4200.0,"1,500-1,900",2900,5.0,Ariane 5G,28492
Helios 2B,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2009-12-18 00:00:00,4200.0,"1,500-1,900",2900,5.0,Ariane 5,36124
HellasSat-2,Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,,GEO,,2003-05-12 00:00:00,3300.0,,7600,15.0,Atlas 5,27811
HellasSat-3,Greece/United Kingdom,Hellas-Sat Consortium Ltd./INMARSAT,Commercial,Communications,,GEO,,2017-06-28 00:00:00,5780.0,,,15.0,Ariane 5,42814
Hellas-Sat 4,Greece,Hellas-Sat Consortium Ltd.,Commercial/Government,Communications,,GEO,,2019-02-05 00:00:00,6495.0,,,15.0,Ariane 5,44034
RHESSI,USA,"Space Sciences Laboratory, UC Berkeley/NASA",Government/Civil,Space Science,,LEO,Non-Polar Inclined,2002-02-05 00:00:00,293.0,,414,3.0,Pegasus,27370
Hibari,Japan,Tokyo Institute of Technology,Civil,Technology Demonstration,,LEO,Sun-Synchronous,2021-11-08 00:00:00,55.0,,,,H2A,49400
Hiber-1,Netherlands,Hiber Global,Commercial,Technology Development,,LEO,,2018-11-29 00:00:00,4.0,,,,PSLV,43744
Hiber-2,Netherlands,Hiber Global,Commercial,Technology Development,,LEO,,2018-12-03 00:00:00,7.0,,,,Falcon 9,43774
Hiber-3,Netherlands,Hiber Global,Commercial,Technology Development,,LEO,Sun-Synchronous,2021-03-22 00:00:00,4.0,,,,Soyuz-2.1b,47942
Hiber-4,Netherlands,Hiber Global,Commercial,Technology Development,,LEO,Sun-Synchronous,2021-01-24 00:00:00,3.0,,,,Falcon 9,47541
Himawari 8,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,,2014-10-07 00:00:00,3500.0,1300,2600,8.0,H2A,40267
Himawari 9,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,,2016-11-02 00:00:00,3500.0,1300,2600,8.0,H2A,41836
Hinode,Multinational,Institute of Space and Aeronautical Science/NASA,Government,Space Science,,LEO,Sun-Synchronous,2006-10-22 00:00:00,700.0,530,1000,3.0,JAXA M-V,29479
Hisaki,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,,Elliptical,,2013-09-14 00:00:00,348.0,,900,1.0,Epsilon,39253
Hisea-1,China,Spacety,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,2020-12-22 00:00:00,180.0,,,,Long March 8,47297
Hispasat 1D,Spain,Hispasat,Government/Commercial/Military,Communications,,GEO,,2002-09-18 00:00:00,3288.0,1382,6200,15.0,Atlas 2AS,27528
Hispasat 1E,Spain,Hispasat,Commercial,Communications,,GEO,,2010-12-29 00:00:00,5320.0,2175,14000,15.0,Ariane 5,37264
Hispasat 30W-6,Spain,Hispasat,Commercial,Communications,,GEO,,2018-03-06 00:00:00,6100.0,,,15.0,Falcon 9,43228
Hispasat 36W-1,Spain,Hispasat,Commercial,Communications,,GEO,,2017-01-28 00:00:00,3220.0,1700,6000,15.0,Soyuz,41942
HJ-1A,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2008-09-05 00:00:00,470.0,,,3.0,Long March 2C,33320
HJ-1B,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2008-09-05 00:00:00,470.0,,,3.0,Long March 2C,33321
HJ-1C,China,National Committee for Disaster Reduction and State Environmental Protection,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,2012-11-18 00:00:00,890.0,,,3.0,Long March 2C,38997
HJ-2A,China,China Centre for Resources Satellite Data and Application (CRESDA),Government,Earth Observation,,LEO,Sun-Synchronous,2020-09-27 00:00:00,,,,,Long March 4B,46478
HJ-2B,China,China Centre for Resources Satellite Data and Application (CRESDA),Government,Earth Observation,,LEO,Sun-Synchronous,2020-09-27 00:00:00,,,,,Long March 4B,46479
Hodoyoshi-3,Japan,University of Tokyo and NESTRA,Government,Technology Development,,LEO,Sun-Synchronous,2014-06-19 00:00:00,60.0,,50,,Dnepr,40015
Hodoyoshi-4,Japan,University of Tokyo and NESTRA,Government,Technology Development,,LEO,Sun-Synchronous,2014-06-19 00:00:00,60.0,,50,,Dnepr,40011
Hongyan-1,China,China Aerospace Science and Technology Corporation (CASC),Government,Communications,,LEO,Non-Polar Inclined,2018-12-29 00:00:00,,,,,Long March 2D,43914
Hongyun-1,China,China Aerospace Science and Industry Corporation (CASIC),Commercial,Technology Development,,LEO,Sun-Synchronous,2018-12-21 00:00:00,,,,,Long March 11,43871
Horizons 2,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,GEO,,2007-12-21 00:00:00,2300.0,,4700,15.0,Ariane 5,32388
Horizons 3e,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,GEO,,2018-09-25 00:00:00,6500.0,,,15.0,Ariane 5 ECA,43633
Horyu-2,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,LEO,Sun-Synchronous,2012-05-17 00:00:00,7.1,,,1.0,H2A,38340
HSAT-1,USA,Harris Corporation,Commercial,Communications,,LEO,Sun-Synchronous,2018-11-29 00:00:00,4.0,,,,PSLV,43720
Huangpu-1,China,Shanghai Lizheng Satellite Application Technology,Commercial,Communications,,LEO,Sun-Synchronous,2019-11-03 00:00:00,50.0,,,,Long March 4B,44705
