SatCatId,ObjectId,ObjectName,LaunchDate,LaunchYear,LaunchSite,LaunchSiteCountry,LaunchVehicle,Status,StatusCode,OrbitClassEstimated,OrbitalPeriod,DecayDate,OwnerCode,Owner,Inclination,UseType,Purpose,LaunchMass,DryMass,ExpLifetime,UcsData,LaunchVehicleClass
14128,1983-058A,EUTELSAT 1-F1 (ECS 1),1983-06-16,1983,"Europe's Spaceport, Kourou, French Guiana",French Guiana,,Inactive,-,GSO,1456.49,-1.0,EUTE,EUTELSAT,12.14,,,-1.0,,-1.0,0,
14129,1983-058B,PHASE 3B (AO-10),1983-06-16,1983,"Europe's Spaceport, Kourou, French Guiana",French Guiana,,Active,P,MEO,699.46,-1.0,GER,Germany,26.2,,,-1.0,,-1.0,0,
14133,1983-059B,NAHUEL I2 (ANIK C2),1983-06-18,1983,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,GSO,1452.7,-1.0,ARGN,Argentina,13.14,,,-1.0,,-1.0,0,
14134,1983-059C,PALAPA B1,1983-06-18,1983,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,GSO,1437.87,-1.0,INDO,Indonesia,11.89,,,-1.0,,-1.0,0,
14139,1983-060C,OPS 3899,1983-06-20,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,111.29,-1.0,US,USA,96.66,,,-1.0,,-1.0,0,
14143,1983-056C,GB 1,1983-06-09,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,104.57,-1.0,US,USA,63.31,,,-1.0,,-1.0,0,
14144,1983-056D,GB 2,1983-06-09,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,104.59,-1.0,US,USA,63.31,,,-1.0,,-1.0,0,
14147,1983-061A,COSMOS 1470,1983-06-23,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,93.59,-1.0,CIS,Russia/USSR,82.47,,,-1.0,,-1.0,0,
14154,1983-063A,HILAT,1983-06-27,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,100.11,-1.0,US,USA,82.03,,,-1.0,,-1.0,0,
14158,1983-065A,GALAXY 1 (G-1),1983-06-28,1983,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,GSO,1438.17,-1.0,US,USA,13.77,,,-1.0,,-1.0,0,
14160,1983-066A,GORIZONT 7,1983-06-30,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,GSO,1464.17,-1.0,CIS,Russia/USSR,9.79,,,-1.0,,-1.0,0,
14163,1983-067A,PROGNOZ 9,1983-07-01,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,UNK,,-1.0,-1.0,CIS,Russia/USSR,-1.0,,,-1.0,,-1.0,0,
14171,1983-069A,COSMOS 1473,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.4,-1.0,CIS,Russia/USSR,74.02,,,-1.0,,-1.0,0,
14172,1983-069B,COSMOS 1474,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.59,-1.0,CIS,Russia/USSR,74.03,,,-1.0,,-1.0,0,
14173,1983-069C,COSMOS 1475,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.78,-1.0,CIS,Russia/USSR,74.02,,,-1.0,,-1.0,0,
14174,1983-069D,COSMOS 1476,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.97,-1.0,CIS,Russia/USSR,74.03,,,-1.0,,-1.0,0,
14175,1983-069E,COSMOS 1477,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.16,-1.0,CIS,Russia/USSR,74.02,,,-1.0,,-1.0,0,
14176,1983-069F,COSMOS 1478,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.36,-1.0,CIS,Russia/USSR,74.03,,,-1.0,,-1.0,0,
14177,1983-069G,COSMOS 1479,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.56,-1.0,CIS,Russia/USSR,74.02,,,-1.0,,-1.0,0,
14178,1983-069H,COSMOS 1480,1983-07-06,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.78,-1.0,CIS,Russia/USSR,74.02,,,-1.0,,-1.0,0,
14180,1983-056G,GB 3,1983-06-09,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,104.36,-1.0,US,USA,63.3,,,-1.0,,-1.0,0,
14182,1983-070A,COSMOS 1481,1983-07-08,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,MEO,707.37,-1.0,CIS,Russia/USSR,70.8,,,-1.0,,-1.0,0,
14189,1983-072A,NAVSTAR 8 (OPS 9794),1983-07-14,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,-,MEO,751.1,-1.0,US,USA,63.29,,,-1.0,,-1.0,0,
14234,1983-077A,ARABSAT-1DR (TELSTAR 3A),1983-07-28,1983,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,GSO,1446.93,-1.0,AB,Arabsat,13.95,,,-1.0,,-1.0,0,
14237,1983-078A,OPS 7304,1983-07-31,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,,-1.0,-1.0,US,USA,-1.0,,,-1.0,,-1.0,0,
14240,1983-079A,COSMOS 1486,1983-08-03,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,100.36,-1.0,CIS,Russia/USSR,74.05,,,-1.0,,-1.0,0,
14248,1983-081A,SAKURA-2B (CS-2B),1983-08-05,1983,"Tanegashima Space Center, Japan",Japan,,Inactive,-,GSO,1457.33,-1.0,JPN,Japan,11.45,,,-1.0,,-1.0,0,
14258,1983-084A,COSMOS 1490 [GLONASS],1983-08-10,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,675.73,-1.0,CIS,Russia/USSR,64.72,,,-1.0,,-1.0,0,
14259,1983-084B,COSMOS 1491 [GLONASS],1983-08-10,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,668.42,-1.0,CIS,Russia/USSR,64.87,,,-1.0,,-1.0,0,
14260,1983-084C,COSMOS 1492 [GLONASS],1983-08-10,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,676.82,-1.0,CIS,Russia/USSR,64.67,,,-1.0,,-1.0,0,
14307,1983-088A,RADUGA 13,1983-08-25,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,GSO,1466.78,-1.0,CIS,Russia/USSR,9.98,,,-1.0,,-1.0,0,
14318,1983-089B,INSAT-1B,1983-08-30,1983,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,GSO,1436.44,-1.0,IND,India,11.49,,,-1.0,,-1.0,0,
14328,1983-094A,SATCOM 2R,1983-09-08,1983,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,GSO,1448.49,-1.0,US,USA,14.44,,,-1.0,,-1.0,0,
14365,1983-098A,GALAXY 2 (G-2),1983-09-22,1983,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,GSO,1437.8,-1.0,US,USA,13.78,,,-1.0,,-1.0,0,
14377,1983-100A,EKRAN 11,1983-09-29,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,GSO,1435.25,-1.0,CIS,Russia/USSR,8.27,,,-1.0,,-1.0,0,
14401,1983-103A,COSMOS 1503,1983-10-12,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,100.49,-1.0,CIS,Russia/USSR,74.04,,,-1.0,,-1.0,0,
14421,1983-105A,INTELSAT 507,1983-10-19,1983,"Europe's Spaceport, Kourou, French Guiana",French Guiana,,Inactive,-,GSO,1444.31,-1.0,ITSO,INTELSAT,12.25,,,-1.0,,-1.0,0,
14450,1983-108A,COSMOS 1506,1983-10-26,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,104.61,-1.0,CIS,Russia/USSR,82.93,,,-1.0,,-1.0,0,
14452,1983-109A,METEOR 2-10,1983-10-28,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,100.9,-1.0,CIS,Russia/USSR,81.16,,,-1.0,,-1.0,0,
14483,1983-111A,COSMOS 1508,1983-11-11,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,102.45,-1.0,CIS,Russia/USSR,82.9,,,-1.0,,-1.0,0,
14506,1983-113A,OPS 1294 (DMSP 5D-2 F7),1983-11-18,1983,"Air Force Western Test Range, California, USA",USA,,Inactive,-,LEO,100.72,-1.0,US,USA,98.39,,,-1.0,,-1.0,0,
14521,1983-115A,COSMOS 1510,1983-11-24,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,116.02,-1.0,CIS,Russia/USSR,73.61,,,-1.0,,-1.0,0,
