SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2,MeanMotion,Eccentricity,OrbitClass
16451,COSMOS 1718,1986,115.66,-1.0,UNK,73.99,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16451U 86002C   24054.73558081 -.00000005  00000+0  75612-4 0  9995,2 16451  73.9892 141.1345 0012706  53.6430  69.0240 12.45075287733020,12.45075287,0.0012706,LEO
16452,COSMOS 1719,1986,115.31,-1.0,UNK,73.99,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16452U 86002D   24054.80049965 -.00000019  00000+0 -18969-4 0  9998,2 16452  73.9921  10.9411 0019231 195.0690 171.0212 12.48859297738279,12.48859297,0.0019231,LEO
16453,COSMOS 1720,1986,115.14,-1.0,UNK,73.99,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16453U 86002E   24054.45614323  .00000011  00000+0  17367-3 0  9996,2 16453  73.9906 310.3253 0027478 117.5706  57.6124 12.50613947740517,12.50613947,0.0027478,LEO
16454,COSMOS 1721,1986,114.98,-1.0,UNK,73.99,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16454U 86002F   24054.57336903  .00000004  00000+0  12983-3 0  9996,2 16454  73.9859 249.6583 0035835  39.1276  16.6866 12.52364106742963,12.52364106,0.0035835,LEO
16455,COSMOS 1722,1986,114.83,-1.0,UNK,73.99,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16455U 86002G   24054.62215675 -.00000029  00000+0 -75695-4 0  9994,2 16455  73.9891 191.6774 0046119 333.4860  39.9642 12.54019806745187,12.54019806,0.0046119,LEO
16456,COSMOS 1723,1986,114.67,-1.0,UNK,73.99,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16456U 86002H   24054.59327090  .00000006  00000+0  13455-3 0  9994,2 16456  73.9887 130.3659 0053267 254.3833 212.1033 12.55781736747616,12.55781736,0.0053267,LEO
24652,ARABSAT-2B,1996,1448.44,-1.0,-,8.75,Inactive,0,GSO,French Guiana,Arabsat,Unknown,Unknown,Unknown,1 24652U 96063A   24054.61897597 -.00000179  00000+0  00000+0 0  9996,2 24652   8.7480  56.1614 0001660 217.7648 273.8793  0.99416925100060,0.99416925,0.000166,GSO
24653,AFRICASAT-2 (MEASAT-2),1996,1445.03,-1.0,-,10.99,Inactive,0,GSO,French Guiana,Malaysia,Unknown,Unknown,Unknown,1 24653U 96063B   24054.30691688 -.00000178  00000+0  00000+0 0  9995,2 24653  10.9858  34.9014 0003683 160.6824 349.5308  0.99652473 99860,0.99652473,0.0003683,GSO
24665,EUTELSAT 48A,1996,1463.66,-1.0,-,10.45,Inactive,0,GSO,USA,EUTELSAT,Unknown,Unknown,Unknown,1 24665U 96067A   24054.26031214 -.00000201  00000+0  00000+0 0  9997,2 24665  10.4512  41.8170 0003381  89.8716 108.4137  0.98383270 99746,0.9838327,0.0003381,GSO
8285,COSMOS 761,1975,114.67,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08285U 75086A   24054.85067660  .00000013  00000+0  17672-3 0  9991,2 08285  74.0068  81.9389 0053446 269.5782 264.0171 12.55794510220698,12.5579451,0.0053446,LEO
8286,COSMOS 762,1975,115.12,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08286U 75086B   24054.47461071  .00000017  00000+0  21103-3 0  9992,2 08286  74.0102 299.4894 0029718 174.4307 359.6249 12.50884498211740,12.50884498,0.0029718,LEO
8287,COSMOS 763,1975,115.8,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08287U 75086C   24054.57878500  .00000009  00000+0  17845-3 0  9992,2 08287  74.0064 260.0517 0023311 271.6814 150.4546 12.43543972198764,12.43543972,0.0023311,LEO
